Manufacturer (short name),Manufacturer,Year,registration,Average mass (Kg),Average CO2 emissions (g/Km)
OPEL,ADAM OPEL AG,2013,804117,1443.09,122.12
AUDI AG,AUDI AG,2013,650995,1554.03,121.88
DACIA,AUTOMOBILE DACIA SA,2013,289150,1200.08,119.37
AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,2013,587544,1356.14,106.86
AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,2013,723688,1348.68,105.65
BMW AG,BAYERISCHE MOTOREN WERKE AG,2013,758186,1560,123.54
DAIMLER AG,DAIMLER AG,2013,661356,1577.38,119.83
FIAT GROUP,FIAT GROUP AUTOMOBILES SPA,2013,646554,1145.15,110.62
FORD WERKE GMBH,FORD-WERKE GMBH,2013,891562,1341.8,111.51
GM KOREA,GM KOREA COMPANY,2013,135379,1405.47,124.19
HYUNDAI CZECH,HYUNDAI MOTOR MANUFACTURING CZECH SRO,2013,220348,1426.46,130.55
JAGUAR LAND ROVER LIMITED,JAGUAR LAND ROVER LIMITED,2013,131530,2049.3,164.62
KIA,KIA MOTORS CORPORATION,2013,285340,1320.21,117.62
MAZDA,MAZDA MOTOR CORPORATION,2013,133183,1421.75,126.28
NISSAN,NISSAN INTERNATIONAL SA,2013,411702,1399.14,115.71
RENAULT,RENAULT SAS,2013,793063,1261.83,96.38
SEAT,SEAT SA,2013,280310,1231.39,111.32
SKODA,SKODA AUTO AS,2013,480748,1267.54,115.92
TOYOTA,TOYOTA MOTOR EUROPE NV SA,2013,513116,1314.81,102.19
VOLKSWAGEN,VOLKSWAGEN AG,2013,1486282,1381.67,115.74
VOLVO,VOLVO CAR CORPORATION,2013,203165,1700.48,107.01
OPEL,ADAM OPEL AG,2012,814342,1455.62,119.71
AUDI AG,AUDI AG,2012,657097,1579.29,122.41
DACIA,AUTOMOBILE DACIA SA,2012,232256,1299.01,125.13
AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,2012,656601,1365.51,108.72
AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,2012,773931,1381.03,107.65
BMW AG,BAYERISCHE MOTOREN WERKE AG,2012,762099,1562.28,123.64
DAIMLER AG,DAIMLER AG,2012,631783,1581.53,123.87
FIAT GROUP,FIAT GROUP AUTOMOBILES SPA,2012,686867,1128.8,109.84
FORD WERKE GMBH,FORD-WERKE GMBH,2012,917753,1324.57,116.48
GM KOREA,GM KOREA COMPANY,2012,161165,1403.59,124.25
HYUNDAI,HYUNDAI MOTOR COMPANY,2012,417010,1334.05,118.81
KIA,KIA MOTORS CORPORATION,2012,329478,1310.18,114.49
MAZDA,MAZDA MOTOR CORPORATION,2012,113575,1360.93,128.79
NISSAN,NISSAN INTERNATIONAL SA,2012,423853,1397.75,122.25
RENAULT,RENAULT SAS,2012,800688,1300.76,105.4
SEAT,SEAT SA,2012,252174,1309.07,114.76
SKODA,SKODA AUTO AS,2012,460608,1298.81,120.03
TOYOTA,TOYOTA MOTOR EUROPE NV SA,2012,515587,1326.3,103.61
VOLKSWAGEN,VOLKSWAGEN AG,2012,1543537,1398.32,119.34
VOLVO,VOLVO CAR CORPORATION,2012,204640,1694.44,121.94
OPEL,ADAM OPEL AG,2011,952340,1429.97,122.86
AUDI AG,AUDI AG,2011,617382,1578,127
DACIA,AUTOMOBILE DACIA SA,2011,235104,1299.64,132.37
AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,2011,742086,1320.01,112.74
AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,2011,871476,1358.19,115.97
